original_id,tower_id,mean_x,mean_y,std_x,std_y,perc_10_x,perc_10_y,perc_50_x,perc_50_y,perc_90_x,perc_90_y,perc_99_x,perc_99_y
1028111,79,318739,759813,7,9,318736,759812,318736,759812,318748,759836,318770,759836
1028850,80,313134,757955,3,2,313132,757952,313132,757957,313141,757957,313141,757957
1029242,81,319974,755517,2,9,319973,755508,319975,755523,319975,755523,319977,755523
1081113,82,155141,470411,18,7,155131,470396,155131,470416,155180,470416,155180,470416
1081557,83,144198,472611,205,9,143828,472600,144316,472615,144316,472616,144316,472616
1082013,84,154636,455140,122,22,154421,455096,154703,455154,154703,455154,154740,455154
1082143,85,155262,470462,15,7,155254,470449,155254,470467,155296,470467,155296,470467
1082457,86,144198,472611,205,9,143828,472600,144316,472615,144316,472616,144316,472616
1083019,87,154636,455140,122,22,154421,455096,154703,455154,154703,455154,154740,455154
1089438,88,69794,590234,4,6,69793,590235,69793,590235,69799,590238,69811,590243
1090138,89,63477,589703,4,9,63469,589683,63480,589707,63480,589707,63486,589726
1090307,90,66060,581118,5,7,66052,581113,66064,581122,66064,581122,66064,581127
1090459,91,69794,590234,4,6,69793,590235,69793,590235,69799,590238,69811,590243
1090667,92,63477,589703,4,9,63469,589683,63480,589707,63480,589707,63486,589726
1091812,93,66060,581118,5,7,66052,581113,66064,581122,66064,581122,66064,581127
1099453,94,179384,720750,2,3,179380,720743,179385,720753,179385,720753,179387,720753
1099570,95,172530,715917,2,1,172523,715916,172532,715916,172532,715919,172532,715922
1099659,96,178698,713067,10,10,178694,713052,178694,713073,178720,713073,178721,713073
1099800,97,179384,720750,2,3,179380,720743,179385,720753,179385,720753,179387,720753
1100085,98,172530,715917,2,1,172523,715916,172532,715916,172532,715919,172532,715922
1100486,99,178698,713067,10,10,178694,713052,178694,713073,178720,713073,178721,713073
1132850,100,244930,643166,0,0,244930,643166,244930,643166,244930,643166,244930,643166
1133069,101,245248,642796,0,0,245248,642796,245248,642796,245248,642796,245248,642796
1272373,102,248202,665096,47,200,248176,664741,248176,665209,248286,665209,248286,665209
1290487,103,236556,652216,0,0,236556,652216,236556,652216,236556,652216,236556,652216
1290589,104,236317,651829,0,0,236317,651829,236317,651829,236317,651829,236317,651829
1290699,105,236758,651864,0,0,236758,651864,236758,651864,236758,651864,236758,651864
1293535,106,229207,661041,0,0,229207,661041,229207,661041,229207,661041,229207,661041
1293647,107,228526,660513,8,0,228524,660514,228524,660514,228526,660514,228554,660514
1293834,108,229382,660447,0,0,229382,660447,229382,660447,229382,660447,229382,660447
1295523,109,242205,663043,0,0,242205,663043,242205,663043,242205,663043,242205,663043
1295564,110,241245,662300,0,0,241245,662300,241245,662300,241245,662300,241245,662300
1295669,111,242510,662126,0,0,242510,662126,242510,662126,242510,662126,242510,662126
1300871,112,229412,651148,0,0,229412,651148,229412,651148,229412,651148,229412,651148
1300900,113,229003,650131,0,0,229003,650131,229003,650131,229003,650131,229003,650131
1301031,114,229648,650356,0,0,229648,650356,229648,650356,229648,650356,229648,650356
