234698	644781	1917
236095	636145	1404
245874	656338	1389
249811	656973	1348
246255	659513	1267
237619	670308	1266
230507	642749	1136
243588	664593	1102
225046	664720	1086
233174	639320	1050
251208	655068	1032
252097	652020	1020
228856	644146	997
234317	640082	981
228983	658624	958
240794	666625	932
230761	637669	929
240921	620270	916
249938	664339	915
229491	637161	874
234063	637923	865
234063	639955	840
258828	694057	814
251843	669165	762
206758	610618	748
258066	540768	722
227967	669419	699
260606	698756	693
256415	548769	689
219204	627763	679
255653	544959	677
260225	565025	653
263273	707900	639
259971	536831	636
211330	619762	622
225808	642495	523
194947	598680	496
248414	670562	496
283339	511939	475
265051	743968	468
274576	772289	461
277878	517400	459
188470	592076	450
249684	670054	443
199900	602744	430
229745	668657	421
275084	812929	406
171833	572264	389
262892	723013	380
226951	657354	378
302643	784354	372
203202	605919	359
280164	801372	359
106174	732538	335
261114	536831	332
281688	750445	323
163451	556770	321
225173	633351	320
164848	561088	312
285625	783719	310
106555	735332	305
257558	529084	304
255272	520575	303
185422	588266	301
256415	523623	301
177802	581408	296
158625	546737	290
175897	579630	284
251335	516130	264
286895	506986	252
254637	518162	243
255653	835662	222
105285	742952	206
248414	514987	196
286387	853442	193
104523	753493	188
294007	510542	181
263781	739396	179
242064	508637	177
231015	496064	161
288673	864491	155
137797	511812	148
153545	537593	145
143258	513463	142
245239	838456	142
273687	655957	141
225554	487809	135
264416	550166	128
250192	840615	127
99697	766955	114
128145	492127	106
294642	881890	105
124081	477649	86
251208	511177	83
121795	471172	75
132717	458599	75
254891	516765	66
283466	824359	60
98300	780290	57
105920	729617	53
305818	888240	43
111889	637796	31
121287	470918	26
240667	611761	4
