eovx,eovy,num
243992,649393,242
242191,644604,162
250494,653057,232
246517,843707,315
245671,844535,535
233037,657103,197
234364,658527,305
231408,661468,294
240992,644152,120
233795,657074,343
244000,658279,247
256338,657415,295
235897,652372,411
175071,700498,844
239776,645329,295
248224,645490,94
304956,779789,598
308946,779634,358
307571,780198,878
81130,587460,888
212301,466679,586
109962,622478,567
119475,748833,360
266722,626496,731
235206,650369,14
245366,650496,0
242953,650115,0
140972,634113,134
240667,620016,102
203710,632843,254
235079,638304,91
169928,572391,0
232031,665990,13
239270,663831,0
260098,465330,0
260225,465076,0
212346,464822,0
238762,656084,0
260479,465457,0
232158,663010,741
228138,660616,377
240843,652386,272
250418,650463,708
245442,648806,335
185600,581758,101
248039,649207,505
208397,616885,177
230850,643347,427
270991,654613,783
220671,642949,168
237314,646404,448
204494,602137,663
205455,600673,543
234068,662847,380
236634,651025,118
244688,843749,886
228860,644645,595
234053,645475,1046
242267,659896,286
237967,658181,293
238525,653185,179
240498,644283,109
247662,653427,358
232287,659856,294
172191,480692,590
244343,666852,746
226829,648881,519
192356,564500,764
260662,665062,224
235841,650242,58
245128,848009,429
227945,653075,277
238139,657525,149
228706,638840,448
239220,651343,250
239524,650813,183
230039,661258,109
204851,613505,361
241600,644229,189
251082,840703,164
168753,483172,769
235013,637288,1443
176826,698368,471
295196,848958,508
238888,665532,102
245845,846608,609
252138,668885,293
228316,661007,91
80717,586757,1079
308224,779678,924
238978,655843,35
102474,733806,552
100658,734432,1574
79479,583493,946
234812,657786,192
99787,734019,194
239270,648591,0
241238,649162,154
267972,656973,0
223268,679325,0
226697,639320,20
255653,668530,0
269877,656846,12
225808,635510,33
269496,657227,0
249938,640082,12
253367,649988,14
248668,641098,23
271401,655195,0
224538,637669,81
229237,637923,36
216156,638304,268
271147,657481,0
272036,656084,0
267591,652274,30
95379,624588,223
239016,715012,0
142115,635383,76
216537,663450,0
209552,656084,5
161038,640336,20
178945,635383,110
187835,703709,0
200154,628271,175
152275,711456,7
170817,694184,4
240159,714631,0
279402,828677,0
324106,766828,4
220728,791720,0
323090,875921,0
147322,741936,0
136527,503557,344
131574,631065,58
187200,492381,224
218696,639066,24
282196,880493,3
103761,728220,0
239905,591314,96
232539,639955,49
249303,654941,0
258574,651893,64
229999,631573,48
104523,627636,154
169303,700905,366
252478,650623,41
227840,638685,42
249049,654814,0
237746,666752,0
203964,613793,74
247144,656084,0
176151,641098,102
143131,635510,33
228983,641987,18
250065,650877,10
250827,559437,189
246128,553087,197
180088,640082,43
239905,640590,40
229618,643003,84
247144,655703,0
250700,650750,0
228602,640463,45
249938,649988,0
236730,666752,0
245620,643003,0
241810,662434,0
248033,653544,7
249303,652782,0
247652,655322,21
227713,653544,0
260225,653290,17
179326,642114,54
179834,641225,97
254002,677674,0
142750,711837,35
222506,631827,4
254510,853442,237
147830,632081,34
285752,839980,128
205742,615698,66
199392,603125,261
127637,730252,7
228270,670517,459
242366,650623,70
234744,641670,805
158882,515653,181
222706,649146,561
228006,642319,475
