original_id,tower_id,mean_x,mean_y,std_x,std_y,perc_10_x,perc_10_y,perc_50_x,perc_50_y,perc_90_x,perc_90_y,perc_99_x,perc_99_y
1028111,79,55885,449227,3,48,55878,449201,55888,449201,55888,449314,55888,449314
1028850,80,55899,449351,6,51,55889,449314,55901,449337,55901,449452,55911,449452
1029242,81,56117,449453,6,1,56116,449452,56116,449452,56127,449455,56137,449455
1081113,82,56644,449455,0,0,56644,449455,56644,449455,56644,449455,56644,449455
1081557,83,56644,449455,0,0,56644,449455,56644,449455,56644,449455,56644,449455
1082013,84,56644,449481,0,28,56644,449455,56644,449455,56644,449515,56644,449515
1082143,85,56699,449652,22,219,56663,449515,56714,449541,56716,450008,56716,450140
1082457,86,56716,450152,0,0,56716,450152,56716,450152,56716,450154,56716,450154
1083019,87,56898,450163,0,10,56898,450154,56898,450163,56898,450176,56898,450179
1089438,88,56898,450942,0,183,56898,450979,56898,450986,56898,450991,56898,451003
1090138,89,56898,451075,0,34,56898,451017,56898,451097,56898,451097,56898,451097
1090307,90,56898,451466,0,84,56898,451487,56898,451487,56898,451487,56898,451487
1090459,91,56941,452021,4,129,56932,452046,56944,452046,56944,452078,56944,452078
1090667,92,56970,452240,13,35,56947,452249,56979,452249,56979,452249,56979,452249
1091812,93,56992,452249,21,0,56979,452249,56979,452249,57025,452249,57025,452249
1099453,94,57025,452249,0,0,57025,452249,57025,452249,57025,452249,57025,452249
1099570,95,57025,452369,0,28,57025,452376,57025,452376,57025,452376,57025,452376
1099659,96,57025,452596,0,53,57025,452577,57025,452612,57025,452612,57025,452629
1099800,97,57025,452749,0,29,57025,452757,57025,452757,57025,452757,57025,452757
1100085,98,57029,452757,13,0,57025,452757,57025,452757,57029,452757,57078,452757
1100486,99,57279,452997,0,57,57279,453011,57279,453011,57279,453011,57279,453011
1132850,100,57279,453011,0,0,57279,453011,57279,453011,57279,453011,57279,453011
1133069,101,57279,453259,0,60,57279,453270,57279,453270,57279,453287,57279,453288
1272373,102,57337,453296,6,9,57323,453290,57341,453294,57341,453317,57341,453323
1290487,103,57434,453399,1,20,57432,453390,57435,453410,57435,453410,57436,453410
1290589,104,57660,453633,0,53,57660,453646,57660,453646,57660,453646,57660,453646
1290699,105,57660,453646,0,0,57660,453646,57660,453646,57660,453646,57660,453646
