eovx,eovy,num
256338,657415,99
235897,652372,252
175071,700498,253
239776,645329,83
248224,645490,37
304956,779789,210
308946,779634,135
307571,780198,286
81130,587460,296
212301,466679,211
109962,622478,146
119475,748833,109
266722,626496,244
235206,650369,3
245366,650496,0
242953,650115,0
140972,634113,48
240667,620016,52
203710,632843,88
235079,638304,71
169928,572391,0
232031,665990,8
239270,663831,0
260098,465330,0
260225,465076,0
212346,464822,0
238762,656084,0
260479,465457,0
232158,663010,223
228138,660616,115
240843,652386,94
250418,650463,248
245442,648806,103
185600,581758,43
248039,649207,204
208397,616885,75
230850,643347,220
270991,654613,275
220671,642949,61
237314,646404,115
204494,602137,208
205455,600673,162
234068,662847,119
236634,651025,58
244688,843749,299
228860,644645,255
234053,645475,476
242267,659896,101
237967,658181,126
238525,653185,67
240498,644283,34
247662,653427,127
232287,659856,87
172191,480692,189
244343,666852,193
226829,648881,245
192356,564500,240
260662,665062,79
235841,650242,14
245128,848009,130
227945,653075,71
238139,657525,54
228706,638840,121
239220,651343,101
239524,650813,45
230039,661258,34
204851,613505,157
241600,644229,82
251082,840703,98
168753,483172,265
235013,637288,630
176826,698368,140
295196,848958,158
238888,665532,36
245845,846608,210
252138,668885,121
228316,661007,32
80717,586757,342
308224,779678,303
238978,655843,13
102474,733806,176
100658,734432,503
79479,583493,337
234812,657786,71
99787,734019,71
239270,648591,0
241238,649162,95
267972,656973,0
223268,679325,0
226697,639320,8
255653,668530,0
269877,656846,11
225808,635510,12
269496,657227,0
249938,640082,9
253367,649988,11
248668,641098,12
271401,655195,0
224538,637669,41
229237,637923,19
216156,638304,54
271147,657481,0
272036,656084,0
267591,652274,19
95379,624588,92
239016,715012,0
142115,635383,23
216537,663450,0
209552,656084,4
161038,640336,6
178945,635383,39
187835,703709,0
200154,628271,62
152275,711456,5
170817,694184,2
240159,714631,0
279402,828677,0
324106,766828,4
220728,791720,0
323090,875921,0
147322,741936,0
136527,503557,166
131574,631065,26
187200,492381,77
218696,639066,14
282196,880493,3
103761,728220,0
239905,591314,39
232539,639955,33
249303,654941,0
258574,651893,28
229999,631573,23
104523,627636,67
169303,700905,100
252478,650623,19
227840,638685,26
249049,654814,0
237746,666752,0
203964,613793,46
247144,656084,0
176151,641098,39
143131,635510,16
228983,641987,11
250065,650877,8
250827,559437,98
246128,553087,76
180088,640082,27
239905,640590,17
229618,643003,32
247144,655703,0
250700,650750,0
228602,640463,20
249938,649988,0
236730,666752,0
245620,643003,0
241810,662434,0
248033,653544,6
249303,652782,0
247652,655322,17
227713,653544,0
260225,653290,8
179326,642114,31
179834,641225,54
254002,677674,0
142750,711837,24
222506,631827,4
254510,853442,151
147830,632081,17
285752,839980,64
205742,615698,37
199392,603125,159
127637,730252,5
228270,670517,234
242366,650623,20
234744,641670,312
158882,515653,45
222706,649146,222
228006,642319,138
173845,575887,220
255432,656476,153
237778,648537,144
235772,641628,135
292522,850227,144
243942,643872,37
238635,655830,5
240032,650496,81
241865,645044,104
168862,480763,180
238499,643277,36
241611,649331,124
241344,652478,23
257048,652561,240
218032,647984,92
239399,662805,47
241526,650300,86
239778,656719,30
231188,672108,204
239524,654433,98
237740,826849,127
202248,734579,333
238883,640883,145
296290,855562,162
237801,662888,116
176204,700172,60
248767,647441,92
240165,597142,89
243461,649440,56
219493,649169,186
305868,707564,217
308454,779016,225
305211,777238,204
151320,806748,181
259845,545203,210
259324,544720,177
103520,737659,208
101333,732530,63
102307,739216,181
103102,733600,150
106077,733874,143
103503,734085,186
100736,733502,171
78962,584768,333
81889,589692,167
80356,584983,237
81018,583917,270
84261,590974,214
248284,601128,257
247746,602845,187
113572,554302,250
221879,652466,70
295600,849234,104
240603,650559,72
146745,821156,207
146343,822315,79
123840,493404,278
202050,739612,130
239524,648972,33
239651,648845,8
146003,743525,133
293986,849289,72
150403,803972,97
236603,649988,33
113032,623191,23
220526,650484,122
173850,699281,37
221169,640261,133
235333,657481,31
285381,748560,10
236349,651766,93
148338,756922,0
99062,728982,0
171325,564136,0
283847,681103,0
240794,648337,0
231777,641606,0
223649,635764,4
239397,712345,0
258193,670181,0
258701,667514,2
258320,650877,17
132209,644146,1
130685,645543,12
255018,721616,3
185930,705614,0
268607,751715,3
287784,850013,0
314073,810516,0
155704,610872,60
239397,627763,6
69725,602236,39
241048,635256,33
219077,627890,29
209171,612142,16
219331,639701,38
239143,624842,3
103634,729236,11
256288,651766,10
204218,736856,0
102491,736602,3
249938,655195,16
259209,657735,4
186184,581535,0
235079,669673,25
248922,843663,0
227840,645797,0
210441,618492,0
211330,636653,8
189613,638685,16
246636,657354,10
229110,666244,2
171452,564136,0
226062,487174,143
145544,742825,4
263273,654941,37
243461,661799,0
100967,734570,0
228094,641733,7
246763,642622,2
247271,643511,9
228094,649607,0
225935,655576,0
181104,641352,28
198376,636018,72
90807,600966,25
210314,619254,0
210187,618111,0
244477,651766,25
244985,839853,0
264035,846076,48
243334,608713,55
166753,801118,0
186057,768860,0
331345,870587,4
275338,764288,0
229745,644908,12
236484,652343,84
250799,650872,73
181990,562635,105
242913,654659,102
238099,652325,103
243080,651385,138
169431,530746,184
243366,652007,96
232923,825317,275
258137,658612,130
205392,603635,178
236730,653798,88
234976,648675,196
242738,655970,111
250795,843976,363
237641,665656,142
234482,651631,144
226863,646038,139
240286,650677,44
302911,857721,46
293447,849050,126
240340,657072,90
238762,655830,11
230687,701933,68
158213,513662,222
240413,648210,23
232898,640566,131
167604,481304,147
241129,663859,47
236498,647101,283
235440,647369,334
168673,484522,151
246453,668121,99
172573,680288,67
244793,648940,112
226894,666563,199
242699,651429,127
254373,679363,102
243633,657391,123
310612,864455,90
243084,651325,172
239596,655491,83
238719,655195,303
248542,672156,162
239583,652025,76
241130,655005,79
245112,656846,18
242584,642362,26
166000,509167,154
211834,694778,124
238508,648210,34
230542,641254,250
204263,754190,89
272472,717519,60
248208,847755,86
250229,849297,197
78174,585906,192
113897,553663,196
306409,775454,205
149788,808456,106
249611,601169,207
82425,586515,15
211722,465578,197
250355,598058,9
311131,707262,31
272849,626919,224
235000,643403,169
207310,615967,70
118573,489897,146
229210,459338,70
288110,749023,139
171719,566492,17
221558,644132,21
241595,649087,99
240667,651847,14
236822,653647,2
210568,619508,3
217426,727331,0
225935,672848,0
206250,667006,0
222252,677420,0
238127,635256,59
253240,629922,18
241175,542673,16
288419,855855,8
324868,767336,0
251081,743968,2
128272,498858,62
133733,536958,23
247271,840361,24
141988,591695,50
153799,506605,17
223141,539879,72
266448,620397,110
245493,626747,82
256415,630430,29
106428,611253,46
179453,503430,176
185803,742825,9
301119,847600,0
250319,655449,4
249938,655068,0
150497,710821,0
188343,641733,43
211457,623699,46
113794,568073,40
207393,621286,16
195582,599569,129
253748,651512,10
59057,603633,16
198376,509018,64
235587,669292,0
126367,620905,59
141988,623318,90
228221,646559,0
230634,636653,6
101850,735447,4
100713,624334,6
237365,664720,17
250827,651258,12
250192,651385,0
250573,649861,0
242699,664085,0
251208,672340,0
307850,779909,5
237111,665736,0
240032,663069,3
120398,722505,106
297576,903858,24
264289,659005,89
294261,894717,0
160657,809373,0
120779,683008,2
258574,694819,0
120017,681992,0
71884,621794,5
254256,777750,2
160657,809119,0
234450,656584,93
244004,655558,65
244477,643003,3
245101,655529,131
233355,655326,133
257417,846442,154
236729,651806,122
241229,662382,140
240179,652462,90
239980,648588,30
235800,649514,68
184498,585162,129
185453,580018,8
179490,562724,98
167887,562021,43
188756,570749,84
244156,659366,83
246890,649706,119
184316,568824,54
233849,768580,29
315286,892749,78
131589,645128,226
238416,652278,59
215522,730167,21
247974,652350,99
242370,651810,80
240960,654147,132
243391,634884,52
239444,646028,36
237019,652336,156
221949,653484,139
236443,826618,53
232901,678346,91
234585,652694,155
231956,653674,171
234938,645638,449
237339,645030,165
236624,646598,101
235141,649333,97
317800,811817,225
238620,648062,130
155516,533461,44
244450,648987,103
243644,652115,93
243932,652062,90
235543,649266,89
236811,650891,38
236812,651316,118
255827,659357,199
223708,656439,263
238082,653232,55
237668,653268,132
248260,845810,194
232929,649840,136
246626,843390,315
247175,846197,266
153419,737618,54
235631,665742,110
248296,649897,97
231342,651066,68
242905,642606,139
240928,641990,280
230564,648508,25
240640,647649,81
237121,647389,65
231534,654541,119
239074,657654,112
214774,663219,147
240857,651131,52
293767,848846,116
293869,849482,75
241984,649204,42
294372,848477,123
295230,849524,50
246078,653896,83
236751,652678,159
221856,666462,144
238213,652984,45
238542,652880,100
225671,656139,304
231299,680428,90
241083,648492,121
176844,559832,42
239615,661639,89
172030,552605,5
230860,655439,53
246500,652703,137
232074,639448,63
234379,659652,65
240103,660082,133
243240,649130,54
235925,648011,133
236971,649652,82
233941,649435,102
124081,679135,112
167065,481952,182
166689,483455,87
169633,481180,179
241454,648831,109
243160,651134,83
294090,851875,134
233209,661079,120
246612,850809,95
254960,665951,207
246371,844090,132
246302,844420,160
246022,844911,160
233234,656407,94
232432,656679,120
251758,671302,23
140291,737450,89
242968,651722,227
337688,833250,53
237651,672231,199
235324,658630,94
233908,658026,83
235541,656234,146
234811,658293,56
245512,649272,87
250544,671874,101
250282,672718,103
250286,674198,14
247341,651144,146
246994,650309,129
257348,638617,151
248972,673724,73
245860,673529,38
242056,654180,117
232440,646852,71
239729,666062,37
234584,648718,140
237427,653499,62
251335,655068,10
239905,648591,9
251078,674525,34
248643,676512,18
250844,676465,30
245353,654038,111
210459,613888,102
234609,657147,78
241863,647441,48
183036,645512,51
244858,657354,18
239873,654369,61
123133,689076,196
228197,651311,14
230756,651821,44
236730,650750,32
242968,658506,70
235373,646678,129
205279,619047,80
224846,632494,207
238066,652597,46
237995,652871,47
238423,648009,46
238296,648245,46
238823,649480,28
188833,573403,48
240544,655659,93
253450,850833,89
169372,699248,430
173863,697065,101
233238,653625,84
233120,654156,72
266754,654078,134
245721,843534,195
298884,852407,101
241420,654104,58
234466,647479,232
235149,648086,202
240408,652300,92
243461,650877,63
242944,648994,46
243461,651512,140
286319,666764,43
245593,843970,195
245900,844264,84
249695,665359,0
270560,715481,220
310033,776710,185
152046,811449,197
241429,652274,40
96551,731464,96
102828,735207,122
86240,587507,95
83545,588487,197
212943,464380,94
264221,461940,154
111851,623521,150
286330,751638,208
239362,654371,162
82092,585679,102
94012,642509,92
92986,643960,147
215024,468130,291
222093,795286,15
120315,746730,121
255957,543084,176
236891,651678,148
127470,493063,205
248296,665204,3
249159,665989,3
185416,769612,79
158288,549904,130
152336,804155,80
252951,837393,193
254747,841034,187
318775,742583,312
206713,609947,186
252768,844708,491
251240,671561,57
97177,735221,36
82159,584998,120
294330,798576,27
239778,656846,9
305200,704580,7
250259,671298,71
249282,669824,46
175897,641606,3
105158,729744,92
98281,740714,81
302770,850160,76
233950,653595,137
233262,652946,128
234001,652812,161
236492,652969,142
240857,650877,81
236548,659942,116
101600,767994,139
147239,820338,194
271792,626854,25
229872,676277,0
230253,637796,0
256288,647321,17
228348,637796,0
228475,639955,0
266448,652401,1
270385,655957,0
200154,597283,58
251716,673483,0
237746,672340,0
227078,670689,4
215902,728220,16
200154,733173,0
188343,706376,3
215648,650369,19
272671,654306,0
