tower_id,mean_x,mean_y,std_x,std_y
22717,237365,654457,0,0
22718,237365,654458,0,0
22719,237365,654459,0,1
22720,237365,654462,0,0
22721,237365,654462,0,0
22722,237365,654463,0,0
22723,237365,654466,0,1
22724,237365,654468,0,0
22725,237365,654469,0,0
22726,237365,654470,0,1
22727,237365,654473,0,1
22728,237365,654477,0,2
22729,237365,654480,0,0
22730,237365,654481,0,0
22731,237365,654483,0,1
22732,237365,654485,0,0
22733,237365,654488,0,0
22734,237365,654489,0,0
22735,237365,654490,0,0
22736,237365,654492,0,0
22737,237365,654493,0,0
22738,237365,654495,0,0
22739,237365,654496,0,0
22740,237365,654496,0,0
22741,237365,654498,0,1
22742,237365,654500,0,0
22743,237365,654503,0,1
22744,237365,654505,0,1
22745,237365,654507,0,0
22746,237368,654507,2,0
22747,237371,654509,0,0
22748,237372,654511,0,1
22749,237374,654516,1,3
22750,237376,654521,0,0
22751,237383,654522,4,0
22752,237388,654522,1,0
22753,237390,654523,0,0
22754,237391,654524,0,1
22755,237394,654526,1,0
22756,237395,654527,0,1
22757,237396,654530,0,0
22758,237400,654530,2,0
22759,237404,654531,0,1
22760,237406,654535,0,1
22761,237407,654537,0,0
22762,237407,654538,0,0
22763,237407,654538,0,0
22764,237407,654541,0,2
22765,237407,654545,0,0
22766,237407,654545,0,0
22767,237407,654545,0,0
22768,237407,654546,0,0
22769,237407,654546,0,0
22770,237407,654546,0,0
22771,237407,654547,0,0
22772,237407,654547,0,0
22773,237407,654547,0,0
22774,237407,654551,0,3
22775,237407,654556,0,0
22776,237407,654557,0,0
22777,237414,654558,4,0
22778,237417,654560,0,0
22779,237420,654560,4,0
22780,237426,654560,0,0
22781,237426,654560,0,0
22782,237428,654560,0,0
22783,237428,654560,0,0
22784,237428,654560,0,0
22785,237428,654560,0,0
22786,237428,654560,0,0
22787,237428,654560,0,0
22788,237428,654560,0,0
22789,237429,654560,3,0
22790,237436,654560,0,0
22791,237436,654560,1,0
22792,237440,654560,2,0
22793,237449,654560,0,0
22794,237449,654560,0,0
22795,237451,654560,0,0
22796,237453,654560,1,0
22797,237456,654560,0,0
22798,237458,654560,1,0
22799,237461,654560,0,0
22800,237462,654560,0,0
22801,237463,654560,0,0
22802,237464,654560,1,0
22803,237466,654563,0,0
22804,237466,654564,0,0
22805,237467,654564,0,0
22806,237467,654565,1,0
22807,237470,654566,1,0
22808,237473,654567,1,0
22809,237476,654575,1,2
22810,237479,654577,0,0
22811,237484,654582,3,1
22812,237491,654586,0,1
22813,237492,654587,0,0
22814,237492,654594,0,2
22815,237492,654595,0,0
22816,237492,654596,0,0
22817,237492,654596,0,0
22818,237492,654600,0,1
22819,237492,654601,0,0
22820,237492,654602,0,0
22821,237492,654602,0,0
22822,237492,654604,0,0
22823,237492,654618,0,6
22824,237492,654623,0,0
22825,237492,654623,0,0
22826,237492,654623,0,0
22827,237492,654623,0,0
22828,237492,654623,0,0
22829,237492,654624,0,0
22830,237492,654628,0,1
22831,237492,654629,0,0
22832,237492,654631,0,0
22833,237492,654632,0,0
22834,237492,654633,0,0
22835,237492,654634,0,0
22836,237492,654635,0,0
22837,237492,654636,0,0
22838,237492,654638,0,0
22839,237492,654639,0,0
22840,237492,654643,0,1
22841,237492,654647,0,2
22842,237492,654649,0,0
22843,237494,654650,1,0
22844,237500,654652,3,0
22845,237504,654654,0,0
22846,237504,654655,0,0
22847,237505,654659,1,2
22848,237507,654661,0,0
22849,237507,654663,1,0
22850,237510,654663,1,0
22851,237513,654664,2,0
22852,237520,654669,0,2
22853,237520,654671,0,0
22854,237520,654672,0,1
22855,237522,654675,0,0
22856,237524,654676,0,1
22857,237525,654679,0,0
22858,237528,654680,1,1
22859,237532,654682,2,0
22860,237534,654682,0,0
22861,237534,654684,0,1
22862,237534,654687,0,0
22863,237534,654687,0,0
22864,237536,654687,1,0
22865,237538,654687,0,0
22866,237539,654687,0,0
22867,237541,654687,0,0
22868,237549,654687,6,0
22869,237555,654687,0,0
22870,237555,654687,0,0
22871,237555,654687,0,0
22872,237556,654687,0,0
22873,237561,654687,3,0
22874,237564,654687,0,0
22875,237565,654687,0,0
22876,237566,654687,0,0
22877,237568,654687,0,0
22878,237570,654687,2,0
22879,237574,654687,0,0
22880,237576,654687,0,0
22881,237576,654688,0,0
22882,237576,654692,0,0
22883,237576,654693,0,0
22884,237576,654695,0,0
22885,237576,654695,0,0
22886,237576,654696,0,0
22887,237585,654696,3,0
22888,237587,654698,0,1
22889,237587,654701,0,0
22890,237587,654702,0,0
22891,237590,654704,2,3
22892,237593,654710,0,0
22893,237593,654711,0,2
22894,237596,654716,0,0
22895,237597,654717,0,1
22896,237597,654720,0,0
22897,237597,654722,0,1
22898,237601,654725,1,0
22899,237605,654726,2,1
22900,237609,654729,1,0
22901,237610,654730,0,2
22902,237611,654737,0,4
22903,237613,654743,0,0
22904,237614,654744,0,0
22905,237614,654744,0,0
22906,237617,654749,1,1
22907,237619,654750,0,0
22908,237619,654750,0,0
22909,237619,654750,0,0
22910,237619,654753,0,1
22911,237619,654757,0,1
22912,237619,654758,0,0
22913,237619,654760,0,1
22914,237619,654766,0,1
22915,237619,654770,0,1
22916,237619,654778,0,4
22917,237619,654782,0,0
22918,237619,654782,0,0
22919,237619,654782,0,0
22920,237619,654784,0,0
22921,237619,654785,0,0
22922,237619,654785,0,0
22923,237619,654785,0,0
22924,237619,654785,0,0
22925,237619,654785,0,0
22926,237619,654788,0,2
22927,237619,654790,0,0
22928,237619,654791,0,0
22929,237619,654792,0,0
22930,237619,654793,0,0
22931,237619,654793,0,0
22932,237619,654793,0,0
22933,237619,654794,0,0
22934,237619,654795,0,0
22935,237619,654798,0,2
22936,237619,654804,0,3
22937,237619,654809,0,1
22938,237619,654812,0,1
22939,237619,654814,0,0
22940,237619,654814,0,0
22941,237619,654814,1,0
22942,237626,654814,0,0
22943,237638,654814,1,0
22944,237639,654814,0,0
22945,237640,654814,0,0
22946,237640,654814,0,0
22947,237641,654814,1,0
22948,237644,654814,0,0
22949,237647,654814,0,0
22950,237649,654814,0,0
22951,237655,654814,1,0
22952,237657,654814,0,0
22953,237658,654814,0,0
22954,237658,654814,0,0
22955,237660,654814,0,0
22956,237661,654814,0,0
22957,237661,654814,0,0
22958,237661,654814,0,0
22959,237661,654814,0,0
22960,237661,654814,0,0
